Fecha;Hora;P;Q
2017-04-02;17:10;0;16,07651343
2017-04-02;17:15;0;15,95115748
2017-04-02;17:20;0;15,98979165
2017-04-02;17:25;0;15,9921463
2017-04-02;17:30;0;15,95821204
2017-04-02;17:35;0;15,88828007
2017-04-02;17:40;0;15,80162439
2017-04-02;17:45;0;15,96261771
2017-04-02;17:50;0;15,99420242
2017-04-02;17:55;0;15,8832134
2017-04-02;18:00;0;15,92410007
2017-04-02;18:05;0;16,17728646
2017-04-02;18:10;0;15,92751368
2017-04-02;18:15;0;15,91342227
2017-04-02;18:20;0;15,85281881
2017-04-02;18:25;0;15,97544776
2017-04-02;18:30;0;15,90683316
2017-04-02;18:35;0;15,93229056
2017-04-02;18:40;0;16,02560299
2017-04-02;18:45;0;15,90744314
2017-04-02;18:50;0;15,8764901
2017-04-02;18:55;0;15,9551218
2017-04-02;19:00;0;15,88762138
2017-04-02;19:05;0;15,94450999
2017-04-02;19:10;0;15,81613896
2017-04-02;19:15;0;15,91094716
2017-04-02;19:20;0;15,83403442
2017-04-02;19:25;0;15,78860845
2017-04-02;19:30;0;15,85186381
2017-04-02;19:35;0;15,82966393
2017-04-02;19:40;0;15,82702641
2017-04-02;19:45;0;15,77513274
2017-04-02;19:50;0;15,83178564
2017-04-02;19:55;0;15,83707627
2017-04-02;20:00;0;15,69275059
2017-04-02;20:05;0;15,7424628
2017-04-02;20:10;0;15,7490896
2017-04-02;20:15;0;15,71823968
2017-04-02;20:20;0;15,8196456
2017-04-02;20:25;0;15,70004792
2017-04-02;20:30;0;15,58936164
2017-04-02;20:35;0;15,57141141
2017-04-02;20:40;0;15,59602785
2017-04-02;20:45;0;15,66678708
2017-04-02;20:50;0;15,76958669
2017-04-02;20:55;0;15,67167283
2017-04-02;21:00;0;15,66199387
2017-04-02;21:05;0;15,60907078
2017-04-02;21:10;0;15,69698702
2017-04-02;21:15;0;15,67693211
2017-04-02;21:20;0;15,65779157
2017-04-02;21:25;0;15,66582434
2017-04-02;21:30;0;15,60450516
2017-04-02;21:35;0;15,72691082
2017-04-02;21:40;0;15,73594387
2017-04-02;21:45;0;15,67941449
2017-04-02;21:50;0;15,53130205
2017-04-02;21:55;0;15,57292462
2017-04-02;22:00;0;15,6304226
2017-04-02;22:05;0;15,67851438
2017-04-02;22:10;0;15,66214856
2017-04-02;22:15;0;15,5792783
2017-04-02;22:20;0;15,66860085
2017-04-02;22:25;0;15,69849302
2017-04-02;22:30;0;15,55206669
2017-04-02;22:35;0;15,47371044
2017-04-02;22:40;0;15,54922525
2017-04-02;22:45;0;15,6776143
2017-04-02;22:50;0;15,57397537
2017-04-02;22:55;0;15,63260592
2017-04-02;23:00;0;15,66200817
2017-04-02;23:05;0;15,42057557
2017-04-02;23:10;0;15,54676917
2017-04-02;23:15;0;15,53130205
2017-04-02;23:20;0;15,540563
2017-04-02;23:25;0;15,42637038
2017-04-02;23:30;0;15,61484395
2017-04-02;23:35;0;15,57494906
2017-04-02;23:40;0;15,40793138
2017-04-02;23:45;0;15,45457606
2017-04-02;23:50;0;15,56702063
2017-04-02;23:55;0;15,41395329
2017-04-03;0:00;0;15,36842297
2017-04-03;0:05;0;15,41358433
2017-04-03;0:10;0;15,49757311
2017-04-03;0:15;0;15,42778449
2017-04-03;0:20;0;15,42673952
2017-04-03;0:25;0;15,42718533
2017-04-03;0:30;0;15,46499603
2017-04-03;0:35;0;15,43491869
2017-04-03;0:40;0;15,44726891
2017-04-03;0:45;0;15,42368152
2017-04-03;0:50;0;15,34489188
2017-04-03;0:55;0;15,41401575
2017-04-03;1:00;0;15,39276069
2017-04-03;1:05;0;15,44994598
2017-04-03;1:10;0;15,34666965
2017-04-03;1:15;0;15,40129811
2017-04-03;1:20;0;15,33628221
2017-04-03;1:25;0;15,37448406
2017-04-03;1:30;0;15,47763914
2017-04-03;1:35;0;15,36178549
2017-04-03;1:40;0;15,37878065
2017-04-03;1:45;0;15,65889439
2017-04-03;1:50;0;15,46094984
2017-04-03;1:55;0;15,27822799
2017-04-03;2:00;0;15,46795363
2017-04-03;2:05;0;15,35956203
2017-04-03;2:10;0;15,44442449
2017-04-03;2:15;0;15,37626383
2017-04-03;2:20;0;15,25169169
2017-04-03;2:25;0;15,45127043
2017-04-03;2:30;0;15,27127453
2017-04-03;2:35;0;15,27666944
2017-04-03;2:40;0;15,30145629
2017-04-03;2:45;0;15,30648997
2017-04-03;2:50;0;15,29975789
2017-04-03;2:55;0;15,3016089
2017-04-03;3:00;0;15,32501069
2017-04-03;3:05;0;15,28148373
2017-04-03;3:10;0;15,23477875
2017-04-03;3:15;0;15,20356179
2017-04-03;3:20;0;15,29376209
2017-04-03;3:25;0;15,22001216
2017-04-03;3:30;0;15,30020155
2017-04-03;3:35;0;15,2457069
2017-04-03;3:40;0;15,28007747
2017-04-03;3:45;0;15,19257531
2017-04-03;3:50;0;15,14102657
2017-04-03;3:55;0;15,22466386
2017-04-03;4:00;0;15,17341709
2017-04-03;4:05;0;15,20953691
2017-04-03;4:10;0;15,22045448
2017-04-03;4:15;0;15,21122945
2017-04-03;4:20;0;15,13424726
2017-04-03;4:25;0;15,2150571
2017-04-03;4:30;0;15,21601762
2017-04-03;4:35;0;15,23661108
2017-04-03;4:40;0;15,24902066
2017-04-03;4:45;0;15,30633734
2017-04-03;4:50;0;15,2383815
2017-04-03;4:55;0;15,26313205
2017-04-03;5:00;0;15,24199884
2017-04-03;5:05;0;15,34434276
2017-04-03;5:10;0;15,36838052
2017-04-03;5:15;0;15,11873226
2017-04-03;5:20;0;15,15544485
2017-04-03;5:25;0;15,32537842
2017-04-03;5:30;0;15,15912656
2017-04-03;5:35;0;15,09817033
2017-04-03;5:40;0;15,13778834
2017-04-03;5:45;0;15,2155134
2017-04-03;5:50;0;15,042704
2017-04-03;5:55;0;15,19781603
2017-04-03;6:00;0;15,24697311
2017-04-03;6:05;0;15,13508121
2017-04-03;6:10;0;15,31006865
2017-04-03;6:15;0;15,21250806
2017-04-03;6:20;0;15,17601849
2017-04-03;6:25;0;15,23569204
2017-04-03;6:30;0;15,24994853
2017-04-03;6:35;0;15,31000645
